alpha1,alpha2,V1_1,V1_2,V2_1,V2_2
0.0,0.0,2.1592304640987235e-18,-6.420277635452052e-18,3.8866148353777042e-19,0.010236348126119756
6.17103242769877e-18,0.0,-2.415024948715113e-35,0.0,0.0,-2.3908746992279617e-35
-1.2704849984857338,0.0,0.0,0.0,0.0,0.0
0.33415420891514436,-0.1270484998485734,0.0,0.0,0.0,0.0
-1.133094800505161,0.03341542089151444,0.0,0.0,0.0,0.0
1.4104892062882266,-0.11330948005051611,0.0,0.0,0.0,0.0
0.17831614233384985,0.14104892062882265,0.0,0.0,0.0,0.0
-0.5172478196450102,0.017831614233384984,0.0,0.0,0.0,0.0
1.6821497308912643,-0.051724781964501025,0.0,0.0,0.0,0.0
2.269864874915556,0.16821497308912645,0.0,0.0,0.0,0.0
3.1707063709734737,0.22698648749155562,0.0,0.0,0.0,0.0
2.718384331253678,0.3170706370973474,0.0,0.0,0.0,0.0
0.815037117669484,0.2718384331253678,0.0,0.0,0.0,0.0
2.5894219450591436,0.0815037117669484,0.0,0.0,0.0,0.0
1.10821131334514,0.2589421945059144,0.0,0.0,0.0,0.0
1.6155042469748793,0.11082113133451399,0.0,0.0,0.0,0.0
1.8658252225957015,0.16155042469748793,0.0,0.0,0.0,0.0
0.9394529429045047,0.18658252225957017,0.0,0.0,0.0,0.0
1.2703883640579026,0.09394529429045047,0.0,0.0,0.0,0.0
1.6513461478859284,0.12703883640579025,0.0,0.0,0.0,0.0
1.329137441504384,0.16513461478859284,0.0,0.0,0.0,0.0
-0.2696974550434097,0.1329137441504384,0.0,0.0,0.0,0.0
0.2963031908347895,-0.02696974550434097,0.0,0.0,0.0,0.0
1.447567746600084,0.02963031908347895,0.0,0.0,0.0,0.0
0.05884633265215544,0.1447567746600084,0.0,0.0,0.0,0.0
0.024545400658415373,0.005884633265215544,0.0,0.0,0.0,0.0
-0.4169962181272142,0.0024545400658415374,0.0,0.0,0.0,0.0
1.6432201594815763,-0.041699621812721424,0.0,0.0,0.0,0.0
1.452205214940502,0.16432201594815765,0.0,0.0,0.0,0.0
1.2978864596595188,0.1452205214940502,0.0,0.0,0.0,0.0
