"index","value"
1,30.6041666666667
2,37.4791666666666
3,2.66666666666669
4,9.08333333333334
5,4
6,5.39583333333331
7,34.8541666666667
8,19.6666666666667
9,26.3541666666667
10,43.75
11,7.41666666666666
12,9.66666666666667
13,54.0833333333333
14,28.1875
15,22.6041666666667
16,1.125
17,30.1458333333333
18,14.25
19,98.3125
20,18.1458333333333
21,7.08333333333334
22,45.125
23,11.1666666666667
24,10.9583333333333
25,42.75
26,40.3541666666667
27,15.3958333333333
28,130.666666666667
29,3.08333333333331
30,27.5208333333333
31,58.5833333333333
32,3.45833333333337
33,32.2708333333334
34,18.3125
35,21
36,8.89583333333326
37,31.9375
38,42.7291666666667
39,19.3958333333333
40,7.75
41,18.5208333333334
42,11.1666666666666
43,40.3958333333334
44,11.5208333333334
45,3.66666666666663
46,6.20833333333337
47,9.04166666666663
48,28.3125
49,5.29166666666663
50,26.1458333333334
51,1.95833333333337
52,11.7708333333333
53,30.2291666666667
54,58.5833333333333
55,8.375
56,6.16666666666663
57,53.5416666666667
58,21.6041666666667
59,7.95833333333326
60,42.1875
61,12.5208333333333
62,0.166666666666742
63,25.8541666666667
64,10.4583333333333
65,7
66,60.125
67,17.1458333333333
68,1.16666666666674
69,13.125
70,1.58333333333326
71,5.08333333333348
72,11.7291666666665
73,3.83333333333348
74,49.1875
75,8.39583333333326
76,49.0208333333333
77,17.1875
78,38.3541666666667
79,25.6458333333333
80,20.1458333333335
81,14.3333333333333
82,17.3125
83,2.125
84,32.4375
85,16.7916666666667
86,8.60416666666652
87,3.95833333333348
88,0.833333333333258
89,66.1666666666667
90,16.4791666666665
91,17.875
92,26.1875
93,12.4583333333335
94,27.9791666666665
95,15.5208333333335
96,35.3958333333333
97,12.8333333333333
98,28.6458333333335
99,4.5625
100,5.08333333333326
101,11.3333333333333
102,4.54166666666674
103,5.91666666666674
104,33.6041666666665
105,13.5208333333335
106,9.5
107,12.8541666666665
108,13.125
109,4.75
110,77.1458333333333
111,35.8958333333335
112,13.8333333333335
113,12.4791666666665
114,2.83333333333348
115,9.875
116,1.29166666666652
117,34.1875
118,7.3125
119,68.0833333333335
120,1.95833333333303
121,17.479166666667
122,9.25
123,2.54166666666652
124,8.20833333333348
125,1.875
126,19.270833333333
127,32.979166666667
128,11.7916666666665
129,4.35416666666652
130,12.875
131,16.375
132,7.1875
133,10.0833333333335
134,7.125
135,0.916666666666515
136,27.354166666667
137,6.125
138,3.10416666666652
139,45.6041666666665
140,5.04166666666697
141,48.625
142,1.20833333333303
143,2.04166666666697
144,7.83333333333303
145,2.20833333333348
146,0.666666666666515
147,8.77083333333348
148,6.125
149,25.9791666666665
150,11.166666666667
151,2.125
152,8.95833333333303
153,1.95833333333348
154,7.4375
155,0
156,2.125
157,2.75
158,4.25
159,15.125
160,6.35416666666652
161,5
162,33.1875
163,7.125
164,19.5208333333335
165,8
166,9.04166666666652
167,14.3125
168,12.791666666667
169,4.375
170,11.145833333333
171,0.333333333333485
172,13.75
173,18.3958333333335
174,15.875
175,1.54166666666652
176,4.9375
177,1.25
178,30.3541666666665
179,8.79166666666697
180,7.125
181,1.25
182,25.9375
183,59.2916666666665
184,35.3125
185,28.2708333333335
186,39.6041666666665
187,13.3541666666665
188,10.291666666667
189,5
190,1.66666666666652
191,37.25
192,11.8333333333335
193,25.145833333333
194,8.16666666666697
195,10.375
196,7.0625
197,18.208333333333
198,23.479166666667
199,8.75
200,2.125
201,6.5625
202,13.708333333333
203,15
204,26.604166666667
205,28.3125
206,19.5625
207,19.270833333333
208,35.4375
209,5.20833333333348
210,22.4791666666665
211,49.354166666667
212,12.645833333333
213,7.58333333333348
214,6.25
215,13.0625
216,0.125
217,9.20833333333348
218,5.83333333333303
219,0.0416666666669698
220,40.6041666666665
221,3.75
222,14.5208333333335
223,34.6041666666665
